VT;VU;AP;DPXV;DSBM;DSIG;DCTC;DABM;ND;NB;NS;NG;MO;PSN;CH;PC;BRO;COORD_E;COORD_N
445014;6642;67;6692;4948;1781;2955;164;2;2;1;1;SM;N;N;M;Trindade;744384;6946826
349011;6123;57;4308;5684;1921;844;1825;2;1;0;1;MO;N;N;B;Trindade;744596;6945160
299962;3614;83;5494;3750;1649;1927;754;1;2;0;1;N;N;N;B;Trindade;744385;6946227
590019;8551;69;6767;5023;2362;1285;1294;2;2;1;2;SM;S;S;M;Trindade;744555;6945690
287980;4235;68;6970;5226;2643;1566;1165;3;1;0;1;MO;N;S;B;Trindade;744768;6945860
489984;5632;87;6393;6019;1288;1429;1522;3;2;1;1;MO;N;N;M;Trindade;745041;6945579
315000;4200;75;6970;5226;2643;1566;1194;2;1;0;1;N;N;N;B;Trindade;744813;6945843
580000;7250;80;6215;4471;1362;2537;949;3;2;1;1;N;N;S;M;Trindade;744595;6946042
399024;5542;72;4197;7117;2386;1309;2211;2;2;1;2;N;N;S;B;Trindade;744111;6944793
749970;8333;90;4269;5788;2025;948;1699;3;1;1;2;MO;N;N;M;Trindade;744520;6945281
599012;8809;68;5136;3392;2367;2494;310;2;2;1;1;MO;N;S;A;Trindade;744270;6946721
929961;10449;89;5181;3437;2412;2539;307;3;2;1;2;SM;S;S;A;Trindade;744236;6946752
330000;4125;80;6882;5138;1827;2105;1096;2;2;1;1;SM;N;N;B;Trindade;744110;6945935
598980;8940;67;5407;3663;1974;2252;476;2;2;1;1;SM;N;S;A;Trindade;744367;6946509
639975;6095;105;5971;5465;2084;1007;1605;3;3;1;2;MO;N;N;M;Trindade;744721;6945398
689000;10600;65;5398;3654;2063;2341;388;2;2;1;2;SM;N;S;A;Trindade;744370;6946598
457954;4673;98;3968;6683;1952;875;1898;3;2;1;1;SM;N;N;M;Trindade;744386;6945082
549998;4661;118;4132;6557;1826;749;1926;3;3;2;1;N;N;S;M;Trindade;744470;6945053
530024;6023;88;6944;5200;2617;1540;1212;3;2;1;1;N;N;N;M;Trindade;744749;6945806
299988;5769;52;6970;5226;2643;1566;1137;2;1;0;1;SM;N;N;M;Trindade;744826;6945908
690000;9200;75;5181;3437;2412;2539;263;2;2;1;1;N;S;N;A;Trindade;744241;6946810
790023;5603;141;6341;4597;1165;1757;959;3;3;3;1;SM;N;S;M;Trindade;744580;6946030
319995;4923;65;5494;3750;1649;1927;777;2;2;0;1;N;N;N;B;Trindade;744468;6946202
360000;4800;75;7052;5308;2555;1478;1333;2;1;0;1;N;N;S;B;Trindade;744900;6945726
635035;7471;85;6504;4760;1449;1727;861;3;2;1;1;MO;N;S;M;Trindade;744438;6946118
319995;4923;65;5427;3683;1716;1994;667;3;1;0;1;N;N;N;B;Trindade;744438;6946312
549990;7857;70;6699;4955;1644;1922;737;2;1;1;2;N;N;N;M;Trindade;744275;6946261
589968;8194;72;6858;5114;2623;1546;1165;2;1;1;2;N;N;S;A;Trindade;744592;6945823
294976;4609;64;5715;3971;1986;2264;937;2;1;0;1;N;N;N;B;Trindade;744045;6946131
350025;4667;75;7052;5308;2555;1478;1275;3;1;0;1;N;N;N;B;Trindade;744913;6945793
479960;3692;130;5718;5558;1831;754;1728;3;3;1;1;SM;N;N;B;Trindade;744628;6945261
340032;5152;66;5781;5567;1894;817;1743;2;1;0;1;N;N;N;B;Trindade;744721;6945258
348000;7250;48;4120;7040;2309;1232;2115;1;1;0;1;SM;N;S;M;Trindade;744148;6944884
440016;4944;89;3917;6837;2106;1029;1942;2;2;1;1;N;N;N;M;Trindade;744244;6945047
505036;4244;119;3904;6746;2015;938;1902;3;3;1;2;N;N;N;B;Trindade;744295;6945082
519979;7123;73;6033;5852;2146;1069;1903;2;2;1;1;N;N;S;M;Trindade;744999;6945159
